code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
5803,フジクラ,非鉄金属,6487,5.29,10004.9,6.5,2.5,7068,4461,7933,厳選,順張り,10.92,[],,0.3449044906341541,空売り低位,📈業種空売り低位(34.5%),13.0
6754,アンリツ,電気機器,4480,3.66,117.6,5.2,1.4,4773,3968,4855,厳選,順張り,6.75,[],,0.36972056770136974,空売り低位,📈業種空売り低位(37.0%),10.8
4091,日本酸素ホールディングス,化学,5650,2.91,52.4,3.0,1.5,5744,5468,6509,厳選,順張り,4.82,[],,0.3845859677660183,空売り低位,📈業種空売り低位(38.5%),8.620000000000001
6269,三井海洋開発,機械,9972,1.11,64.8,4.1,0.8,10235,9553,15585,厳選,順張り,4.07,[],,0.4354697124584687,中立,📊業種空売り中立(43.5%),7.84
9519,レノバ,電気・ガス業,920,3.37,21.5,6.1,1.7,946,812,1400,厳選,順張り,4.07,[],,0.40496822073433386,中立,📊業種空売り中立(40.5%),7.4750000000000005
6988,日東電工,化学,3204,1.17,148.8,2.8,1.4,3259,3026,3408,補欠,順張り,3.08,[],,0.3845859677660183,空売り低位,📈業種空売り低位(38.5%),10.8
4661,オリエンタルランド,サービス業,2363,1.74,154.9,2.6,1.1,2377,2244,2768,補欠,順張り,2.5,[],,0.4498272477764239,中立,📊業種空売り中立(45.0%),9.7
6098,リクルートホールディングス,サービス業,11115,0.59,474.2,3.5,0.8,11385,10505,11755,補欠,順張り,1.35,[],,0.4498272477764239,中立,📊業種空売り中立(45.0%),7.95
8088,岩谷産業,卸売業,1919,4.41,26.7,2.7,1.5,1946,1827,2179,補欠,順張り,5.27,[],,0.3428975340283466,空売り低位,📈業種空売り低位(34.3%),7.335
4578,大塚ホールディングス,医薬品,10710,0.94,96.1,2.8,0.8,10930,10405,11910,補欠,順張り,0.82,[],,0.4460536597991475,中立,📊業種空売り中立(44.6%),7.225
